,mmsi,imo,dataset,loitering,authorized_encounter,partial_encounter,pending_encounter,unknown_encounter,encounter,loitering_06,encounters_06,loitering_12,encounters_12,port_name,port_country,visit_times,last_port_name,last_port_country,last_visit_times,total_meetup,average_meetup,last_port_visit_month,avg_month_port_visit,meetup_since_last_port,month_since_last_port,likely_remaining_meetup,"('count', 'Kuril Islands (Japan v. Russia)')","('count', 'United States Exclusive Economic Zone (Alaska)')","('count', 'Guinea Bissau Exclusive Economic Zone')","('count', 'Chinese Exclusive Economic Zone')","('count', 'Japanese Exclusive Economic Zone')","('count', 'Kiribati Exclusive Economic Zone')","('count', 'Indonesian Exclusive Economic Zone')","('count', 'Canadian Exclusive Economic Zone')","('eez_visit', 'Kuril Islands (Japan v. Russia)')","('eez_visit', 'United States Exclusive Economic Zone (Alaska)')","('eez_visit', 'Guinea Bissau Exclusive Economic Zone')","('eez_visit', 'Chinese Exclusive Economic Zone')","('eez_visit', 'Japanese Exclusive Economic Zone')","('eez_visit', 'Kiribati Exclusive Economic Zone')","('eez_visit', 'Indonesian Exclusive Economic Zone')","('eez_visit', 'Canadian Exclusive Economic Zone')","('rfmo_visit', 'ACAP')","('rfmo_visit', 'APFIC')","('rfmo_visit', 'BOBP-IGO')","('rfmo_visit', 'CACFISH')","('rfmo_visit', 'CCAMLR')","('rfmo_visit', 'CCSBT')","('rfmo_visit', 'CCSBT-proposed')","('rfmo_visit', 'COREP')","('rfmo_visit', 'CPPS')","('rfmo_visit', 'EIFAAC')","('rfmo_visit', 'FFA')","('rfmo_visit', 'GFCM')","('rfmo_visit', 'IATTC')","('rfmo_visit', 'ICCAT')","('rfmo_visit', 'ICES')","('rfmo_visit', 'IOTC')","('rfmo_visit', 'IPHC')","('rfmo_visit', 'IWC')","('rfmo_visit', 'NAFO')","('rfmo_visit', 'NAMMCO')","('rfmo_visit', 'NASCO')","('rfmo_visit', 'NPAFC')","('rfmo_visit', 'NPFC')","('rfmo_visit', 'PICES')","('rfmo_visit', 'RECOFI')","('rfmo_visit', 'SEAFDEC')","('rfmo_visit', 'SIOFA')","('rfmo_visit', 'SPC')","('rfmo_visit', 'SPRFMO')","('rfmo_visit', 'SRFC')","('rfmo_visit', 'SWIOFC')","('rfmo_visit', 'WCPFC')",ETA,Call Sign,Name,Year Built,Latitude,Longitude,Heading,Flag,Deadweight,MMSI,Registered Owner,Speed,Builder,Port Of Registry,Navigation Status,at_port,MRGID_TER1,TERRITORY1,TERRITORY2,SOVEREIGN1,SOVEREIGN2,ISO_SOV1,in_eez,in_us_eez,in_five_eyes_eez,in_nato_eez,distance_us,nearest_us_territory
1476,352739000,8420751.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,DAKAR,SEN,7.0,DAKAR,SEN,6/18/13,0,0.0,2013-06,,0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230900.0,HP3660,Vm Pride,24/09/2007,25.835305,51.67497,40.0,Panama,336.0,352739000.0,Credebt Exchange Ltd,0.0,Jiangsu Wuxi Shipyard Co Ltd,Panama,3-ResManoeuvre,0.0,,,,,,,0.0,0.0,0.0,0.0,93.03827078776476,Maine
1477,271041216,8528591.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,GULLUK,TUR,58.0,GULLUK,TUR,11/5/21,0,0.0,2021-11,,0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11051400.0,TC7092,Fish Fry 7,,40.994857,28.95126,68.8,,,271041216.0,,0.0,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,93.78488110380914,Palau
1478,229644000,9041540.0,public-global-carrier-vessels:v20201001,2,0,0,0,2,2,0,0,0,0,BERKELEY SOUND,FLK,2.0,ZHOUSHAN,CHN,5/29/14,4,0.222222222,2014-05,4.0,0,102.0,408.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,0.0,9HB8506,,,36.55712,-2.762083,264.3,,,229644000.0,,8.0,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,94.73879134192285,Palau
1479,525600727,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,NIZAM ZACHMAN JAKARTA,IDN,4.0,NIZAM ZACHMAN JAKARTA,IDN,9/7/22,0,0.0,2022-09,,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,YBA4054,Sembilan Timur Jaya,,-6.02248,106.865432,23.1,,,525600727.0,,6.4,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,85.97200725479493,Maine
1480,412453006,7934872.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,ZHOUSHAN,CHN,37.0,NINGDE,CHN,12/9/13,0,0.0,2013-12,,0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1481,273440860,8727343.0,public-global-carrier-vessels:v20201001,57,0,0,0,57,57,0,0,4,1,SEVEROMORSK,RUS,92.0,SAFONOVO,RUS,5/21/22,114,0.504424779,2022-05,4.071428571,0,6.0,24.42857143,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,57.0,57.0,,,57.0,,57.0,57.0,,,,,,,,,,,,11141200.0,UERV,Katran,,72.191808,48.708338,197.0,Russia,431.0,273440860.0,  Unknown,5.6,Rybinskaya Sudoverf - USR,Murmansk,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,74.05013901564112,Palau
1482,273219320,9021277.0,public-global-carrier-vessels:v20201001,105,0,0,4,101,105,14,25,36,47,VLADIVOSTOK,RUS,23.0,BERINGOVSKY,RUS,10/16/22,210,3.043478261,2022-10,10.04545455,10,1.0,0.045454545,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,91.0,,,,,,91.0,,,,,,,,105.0,11100800.0,UBGT3,Afrodita,17/07/1991,43.097565,131.846895,175.0,Russia,2832.0,273219320.0,  Unknown,0.0,Miyoshi Shipbuilding Co Ltd,Korsakov,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,139.58453965334607,Maine
1483,548308200,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,GENERAL SANTOS,PHL,9.0,GENERAL SANTOS,PHL,4/16/22,0,0.0,2022-07,,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,DUOZ-2,Primrose 888,14/12/1970,-6.742625,146.993992,326.2,Philippines,4274.0,548308200.0,Frabelle Fishing Corp,0.1,Taguma Zosen KK,Manila,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,117.06972501233601,Maine
1484,277332000,8618865.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,TEMA,GHA,3.0,FUZHOU,CHN,9/26/12,0,0.0,2012-09,,0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1485,367529230,,public-global-carrier-vessels:v20201001,3,3,0,0,0,3,3,3,3,3,ESTHER ISLAND,USA,91.0,ESTHER ISLAND,USA,8/15/22,6,0.018072289,2022-08,6.0,0,3.0,18.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,8270630.0,WDG3746,Tradition,,60.087233,-149.35492,20.2,United States Of America,,367529230.0,Snug Harbor Seafoods Inc,0.3,Saigon Shipbuilders Harve,"Kenai, AK",7-EngagedInFishing,0.0,,,,,,,0.0,0.0,0.0,0.0,168.10089317062165,Palau
1486,515088000,8649137.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,WEIHAI,CHN,51.0,WEIHAI,CHN,4/26/16,0,0.0,2016-04,,0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4112100.0,9LY2425,Baolong,,36.776043,123.84157,53.0,,,515088000.0,,8.1,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,129.7248605204189,Maine
1487,636018457,9014444.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,DAKHLA,ESH,11.0,IJMUIDEN,NLD,10/25/20,0,0.0,2020-10,,0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10251100.0,A8JI5,Prince Of Seas,,52.457485,4.58441,122.0,,,636018457.0,,0.1,,,5-Moored,1.0,2187,Federal Republic of Somalia,,Federal Republic of Somalia,,SOM,1.0,0.0,0.0,1.0,78.6784479389134,Palau
1488,235660000,8706777.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,PANAMA CITY,PAN,5.0,PANAMA CITY,PAN,8/24/12,0,0.0,2012-08,,0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
