eez,event_id,id,iso3,label,preferredGazetteerName
8364,859,8364,ESP,Spanish Exclusive Economic Zone (Canary Islands),
8475,862,8475,CMR,Cameroonian Exclusive Economic Zone,
8474,869,8474,NGA,Nigerian Exclusive Economic Zone,
5680,892,5680,ISL,Icelandic Exclusive Economic Zone,
5693,901,5693,ESP,Spanish Exclusive Economic Zone,
8441,1044,8441,KIR,Kiribati Exclusive Economic Zone (Line Islands),
8473,1118,8473,CIV,Ivory Coast Exclusive Economic Zone,
8426,1226,8426,COL,Colombian Exclusive Economic Zone,
8435,1344,8435,DNK,Faeroe Exclusive Economic Zone,
8400,1400,8400,GHA,Ghanaian Exclusive Economic Zone,
8478,1519,8478,AGO,Angolan Exclusive Economic Zone,
8326,1535,8326,TUV,Tuvaluan Exclusive Economic Zone,
8389,1566,8389,GBR,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,
8389,1566,8389,GBR,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,
8486,1647,8486,CHN,Chinese Exclusive Economic Zone,
8493,1751,8493,CAN,Canadian Exclusive Economic Zone,
8369,1859,8369,MRT,Mauritanian Exclusive Economic Zone,
8492,1927,8492,IDN,Indonesian Exclusive Economic Zone,
8316,2076,8316,FSM,Micronesian Exclusive Economic Zone,
8488,2107,8488,KIR,Kiribati Exclusive Economic Zone (Gilbert Islands),
8324,2299,8324,PNG,Papua New Guinean Exclusive Economic Zone,
5696,2426,5696,GBR,United Kingdom Exclusive Economic Zone,
48950,2997,48950,JPN,Overlapping claim Kuril Islands: Japan / Russia,
8463,3015,8463,USA,United States Exclusive Economic Zone (Alaska),
8471,3179,8471,GNB,Guinea Bissau Exclusive Economic Zone,
5686,3592,5686,NOR,Norwegian Exclusive Economic Zone,
8487,4746,8487,JPN,Japanese Exclusive Economic Zone,
5690,59798,5690,RUS,Russian Exclusive economic Zone,
